Name,X,Y,GSE,TOS,BOS,KrigedBot,KrigedTop,KrigeType,Subregion,FG_Elem
349701N1188365W001,880180.0137,3877652.56,963,43.01968504,-27,FALSE,FALSE,1,21,32502
349764N1188520W001,878734.7444,3878292.857,950,530,510,FALSE,FALSE,1,21,32500
349764N1188520W002,878734.7444,3878292.857,950,50,-40,FALSE,FALSE,1,21,32500
349836N1188439W001,879441.4722,3879122.827,905,-155.0065617,-235,FALSE,FALSE,1,21,32503
349836N1189228W001,872233.8698,3878825.4,1234.53,373.6034908,138.108084,TRUE,TRUE,3,21,32456
349976N1188463W001,879157.5105,3880667.646,850,-110.0065617,-150,FALSE,FALSE,1,21,32504
350022N1188895W001,875190.7467,3881014.727,910.51,27.55265092,-440.6251706,TRUE,TRUE,3,21,32481
350025N1188151W001,881984.4145,3881330.684,887.55,-67.15767717,-180.2964567,TRUE,TRUE,3,21,32516
350033N1189366W001,870884.1693,3880960.513,962.52,161.0282021,-187.6840682,TRUE,TRUE,3,21,32429
350052N1188966W001,874528.6011,3881321.002,919,152.9724409,-527,FALSE,FALSE,1,21,32459
350061N1188721W001,876761.9743,3881513.258,840.51,-27.60548556,-374.3223491,TRUE,TRUE,3,21,32483
350092N1189220W001,872190.7636,3881669.805,894.52,174.7391601,-239.1197638,TRUE,TRUE,3,21,32458
350093N1188787W001,876144.5387,3881843.507,845,84.99343832,-445,FALSE,FALSE,1,21,32484
350100N1188638W001,877502.0252,3881977.556,799.51,-42.31644357,-395.4512861,TRUE,TRUE,3,21,32483
350122N1189674W001,868031.3644,3881834.143,867.55,246.9843832,-254.1324147,TRUE,TRUE,3,21,32392
350128N1189084W001,873416.3328,3882120.267,871.76,343.2731234,-214.74,FALSE,FALSE,1,21,32459
350133N1187846W001,884719.3886,3882646.827,1040.58,145.9376115,-8.23496063,TRUE,TRUE,3,21,32526
350144N1188901W001,875080.1269,3882366.601,849,-50,-633,FALSE,FALSE,1,21,32459
350161N1188543W001,878341.4306,3882690.67,767,121.9868766,-431,FALSE,FALSE,1,21,32483
350162N1189360W001,870880.6013,3882394.547,852,32,-316,FALSE,FALSE,1,21,32430
350164N1189274W001,871664.9839,3882448.796,847.52,127.9461811,-290.4553937,TRUE,TRUE,3,21,32430
350167N1188787W001,876110.5812,3882664.87,820.52,106.3359449,-516.9717979,TRUE,TRUE,3,21,32484
350167N1189087W001,873371.1712,3882552.018,849.52,293.07479,-283.9015879,TRUE,TRUE,3,21,32459
350169N1187813W001,885003.8375,3883059.177,1052.58,169.9989633,6.250931759,TRUE,TRUE,3,21,32526
350169N1188127W001,882136.4752,3882938.261,852.55,-42.25695538,-230.0007218,TRUE,TRUE,3,21,32517
350172N1188493W001,878792.9261,3882831.767,759.51,48.27377953,-375.7081759,TRUE,TRUE,3,21,32506
350181N1189376W001,870725.9068,3882599.478,839.13,96.31471129,-322.9100262,TRUE,TRUE,3,21,32430
350211N1188821W001,875779.9357,3883140.417,792.52,118.2237402,-554.4357087,TRUE,TRUE,3,21,32485
350211N1189452W001,870018.4034,3882904.198,812.265,355.2597507,-346.735,FALSE,FALSE,1,21,32394
350236N1188918W001,874882.8003,3883381.352,,,,TRUE,TRUE,3,21,32460
350236N1188992W001,874207.1368,3883353.525,,,,TRUE,TRUE,3,21,32460
350239N1189107W001,873155.7573,3883343.679,807.53,261.7963386,-346.264357,TRUE,TRUE,3,21,32430
350239N1189221W001,872114.8835,3883301.029,802.53,219.760643,-315.4394882,TRUE,TRUE,3,21,32430
350241N1188479W001,878888.8598,3883602.969,739.52,176.1476247,-329.0744882,TRUE,TRUE,3,21,32506
350250N1192820W001,839252.2853,3882138.16,978.55,-56.97821522,-864.3778215,TRUE,TRUE,3,21,31941
350253N1189496W001,869597.7094,3883354.029,781.265,301.776811,-298.235,FALSE,FALSE,1,21,32394
350269N1189398W001,870485.2344,3883568.025,776.265,289.257126,-323.735,FALSE,FALSE,1,21,32394
350289N1189768W001,867098.1826,3883653.005,742.55,273.2947507,-312.6028871,TRUE,TRUE,3,21,32352
350291N1191763W001,848884.3717,3882958.206,301.56,-657.9239239,-1805.877008,TRUE,TRUE,3,21,32099
350308N1188465W001,878985.6919,3884351.974,716.52,285.531811,-260.48,FALSE,FALSE,1,21,32505
350311N1188642W001,877368.3107,3884318.053,731.52,292.3464436,-464.8999475,TRUE,TRUE,3,21,32506
350311N1189162W001,872620.8313,3884122.24,764.53,265.1451575,-358.4749213,TRUE,TRUE,3,21,32431
350314N1188806W001,875869.6406,3884289.326,752.53,249.1815748,-513.950315,TRUE,TRUE,3,21,32485
350314N1189377W001,870656.6045,3884075.305,,,,TRUE,TRUE,3,21,32395
350322N1188766W001,876231.1572,3884393.228,738.525,260.8702756,-514.6494094,TRUE,TRUE,3,21,32485
350325N1189484W001,869674.7807,3884157.624,735.265,395.515,-302.485,FALSE,FALSE,1,21,32395
350336N1190155W001,863544.1678,3884032.703,732.78,341.8614304,-335.7235433,TRUE,TRUE,3,21,32305
350342N1188465W001,878969.9596,3884729.363,710.52,262.7168504,-381.1273097,TRUE,TRUE,3,21,32505
350344N1188998W001,874103.0291,3884550.009,743.53,258.3256037,-454.6803018,TRUE,TRUE,3,21,32460
350347N1188423W001,879351.0868,3884800.855,717.53,212.0582152,-416.0923753,TRUE,TRUE,3,21,32505
350358N1189473W001,869760.3062,3884527.982,717.53,373.502769,-316.5395538,TRUE,TRUE,3,21,32395
350358N1191781W001,848691.5363,3883695.48,812.55,-110.7790682,-1316.449344,TRUE,TRUE,3,21,32099
350361N1189707W001,867622.7795,3884474.641,702.25,282.0242126,-322.052231,TRUE,TRUE,3,21,32352
350372N1189687W001,867800.4177,3884604.116,680.55,266.0709974,-340.2603675,TRUE,TRUE,3,21,32353
350378N1188479W001,878825.4918,3885123.624,703.52,265.2601575,-494.2135958,TRUE,TRUE,3,21,32506
350378N1189715W001,867542.1193,3884660.372,675.15,263.8681759,-342.0327428,TRUE,TRUE,3,21,32353
350380N1188654W001,877226.9694,3885079.378,702.53,303.0752756,-512.8463123,TRUE,TRUE,3,21,32485
350381N1189265W001,871648.7131,3884860.701,,,,TRUE,TRUE,3,21,32431
350383N1189366W001,870725.7966,3884845.248,717.54,329.4875066,-336.4317848,TRUE,TRUE,3,21,32395
350397N1188327W001,880204.31,3885392.461,728.53,105.0250787,-512.2659318,TRUE,TRUE,3,21,32507
350397N1189310W001,871230.6624,3885021.502,720.535,319.2696457,-340.3783202,TRUE,TRUE,3,21,32395
350414N1188913W001,874846.983,3885358.939,700.53,264.5575591,-497.227874,TRUE,TRUE,3,21,32460
350418N1188425W001,879299.9384,3885588.172,690,213.9986877,-672,FALSE,FALSE,1,21,32507
