NAME	X	Y	Element	BOS	TOS	Layer
S_380313N1219426W001	592763.5993	4209815.027	12947	-175.44	-105.44	-1
S_381150N1215899W001	622420.3452	4296803.088	9466	-125	-115	-1
S_381511N1219946W001	588056.0432	4223057.186	11741	-237.46	-197.46	-1
S_381626N1213651W001	642053.6109	4291701.768	9482	-396.62	-386.62	-1
S_381768N1218899W001	597222.0492	4226013.77	11619	-94.47	15.53	-1
S_381875N1219710W001	590114.0959	4227119.174	11612	-124.45	-49.45	-1
S_382111N1217530W001	609170.7273	4229972.347	12030	-16.2618	15.7885	-1
S_382125N1218071W001	604441.039	4230065.415	11757	30.51	74	-1
S_382487N1220758W001	580850.8225	4233813.004	11473	-65.39	-45.39	-1
S_382615N1220919W001	579436.843	4235219.436	11347	-141.38	-121.9671	-1
S_382626N1220149W001	586172.0779	4235410.413	11095	-77.41	2.59	-1
S_382944N1219162W001	594791.8991	4239035.857	10859	-16.45	18.9765	-1
S_383019N1218550W001	600115.983	4239932.39	11110	15.53	28	-1
S_383223N1218701W001	598776.6993	4242179.894	10862	-74.46	-43.2406	-1
S_383306N1219147W001	594832.1849	4243053.731	10729	-737.7	-717.7	-1
S_383306N1219148W001	594832.1849	4243053.731	10729	-293.7	-283.7	-1
S_383306N1219148W002	594832.1849	4243053.731	10729	-1593.7	-1573.7	-1
S_383506N1217868W001	605990.9795	4245412.185	10988	-154.48	-94.48	-1
S_383603N1219149W001	594793.4621	4246349.34	10505	-178.73	-159.0875	-1
S_383773N1218417W001	601147.7976	4248313.221	10623	-778.7	-758.7	-1
S_383773N1218417W002	601147.7976	4248313.221	10623	-1897.7	-1877.7	-1
S_383773N1218417W003	601147.7976	4248313.221	10623	-2107.7	-2087.7	-1
S_383801N1218219W001	602890.827	4248646.035	10624	-227.45	-203.6269	-1
S_383836N1218454W001	600876.9976	4249009.013	10623	-95.43	-74.3461	-1
S_383900N1219348W001	593008.036	4249624.61	10394	-83	-63	-1
S_383900N1219348W002	593008.036	4249624.61	10394	-403	-343	-1
S_383945N1219473W001	591954.3308	4250111.917	10284	-4	6	-1
S_383945N1219473W002	591954.3308	4250111.917	10284	-1059	-1033	-1
S_383945N1219473W003	591954.3308	4250111.917	10284	-1271	-1161	-1
S_383996N1219208W001	594218.2491	4250704.074	10395	-65.41	14.8385	-1
S_384159N1217671W001	607641.7885	4252681.368	10627	-224.46	-210.2795	-1
S_384463N1219951W001	587699.9187	4255813.091	10066	65.64	83.9705	-1
S_384530N1217847W001	606016.1913	4256766.248	10295	-127.4	-114.4873	-1
S_384551N1217490W001	609154.2091	4257052.421	10298	-202.8659	-192.2076	-1
S_384565N1219185W001	594318.9758	4257008.915	10073	-50.4	-13.5256	-1
S_384568N1219522W001	591439.0934	4257020.027	10069	-1094.2	-1074.2	-1
S_384569N1219522W001	591439.0934	4257020.027	10069	-1204.2	-1184.2	-1
S_384569N1219522W002	591439.0934	4257020.027	10069	-1786.2	-1746.2	-1
S_384643N1216583W001	617079.7295	4258185.084	10412	-47.48	-36.1029	-1
S_384686N1218286W001	602154.6478	4258458.694	10079	-1112.5	-1102.5	-1
S_384686N1218286W002	602154.6478	4258458.694	10079	-2124.5	-2104.5	-1
S_384686N1218286W003	602154.6478	4258458.694	10079	-2282.5	-2262.5	-1
S_384735N1217046W001	612964.8023	4259147.278	10187	-110.47	-100.8467	-1
S_384899N1218682W001	598723.2375	4260779.729	9982	5.57	24.9032	-1
S_384992N1219886W001	588159.0654	4261688.866	9741	-169.1727	-148.4802	-1
S_385106N1219735W001	589452.9903	4262968.351	9746	-66.39	-44.6034	-1
S_385306N1217906W001	605379.3825	4265381.498	9643	-104.451	-91.9196	-1
S_385386N1217307W001	610597.0663	4266339.706	9777	-152.45	-144.45	-1
S_385467N1218496W001	600214.294	4267102.113	9404	-29.438	-11.619	-1
S_385655N1217030W001	612995.1646	4269369.921	9653	-291.5	-282.2546	-1
S_385687N1218046W001	604104.1073	4269593.426	9410	-83.7506	-67.6993	-1
S_385828N1213385W001	644761.3662	4271790.703	10705	-22.32	-12.32	-1
S_385841N1214185W001	637703.3139	4271810.407	10694	-28.15	-18.15	-1
S_385865N1216754W001	615401.1829	4271723.991	9785	-215.23	-205.0734	-1
S_385894N1216449W001	618009.4002	4272083.926	10010	-247.04	-235.5064	-1
S_385947N1213985W001	639511.9765	4273018.416	10583	-169.3	-159.3	-1
S_385947N1213985W002	639511.9765	4273018.416	10583	-339.3	-319.3	-1
S_385947N1213985W003	639511.9765	4273018.416	10583	-569.3	-549.3	-1
S_385947N1213985W004	639511.9765	4273018.416	10583	-799.3	-769.3	-1
S_385947N1213985W005	639511.9765	4273018.416	10583	-959.3	-919.3	-1
S_386008N1215488W001	626350.6116	4273476.729	10672	-153.1873	-130.868	-1
S_386038N1213882W001	640365.159	4274043.515	10471	-118.58	-108.58	-1
S_386038N1213882W002	640365.159	4274043.515	10471	-209.58	-199.58	-1
S_386038N1213882W003	640365.159	4274043.515	10471	-306.58	-273.58	-1
S_386040N1216107W001	620946.1428	4273748.335	10215	-242.9851	-228.8722	-1
S_386041N1216747W001	615373.0026	4273677.063	9786	-60.95	-50.4188	-1
S_386041N1216747W002	615373.0026	4273677.063	9786	-272.71	-262.1788	-1
S_386062N1215602W001	625383.3062	4274060.893	10557	-78.51	-58.51	-1
S_386062N1215602W002	625383.3062	4274060.893	10557	-148.51	-128.51	-1
S_386117N1213150W001	646705.9542	4275034.36	10479	-126.5	-107.8421	-1
S_386125N1217307W001	610483.7935	4274540.324	9419	-274.23	-260.0938	-1
S_386135N1218950W001	596203.5913	4274466.661	9068	-287.22	-271.4314	-1
S_386151N1214467W001	635206.2227	4275208.946	10356	-52.46	-31.7905	-1
S_386180N1219524W001	591235.2251	4274907.822	9063	-74.3539	-60.5527	-1
S_386199N1215386W001	627187.7027	4275610.098	10565	-143.8037	-119.3059	-1
S_386310N1213864W001	640486.2371	4277065.057	10244	-160.53	-135.53	-1
S_386326N1218627W001	598963.401	4276620.187	8952	-5.22	11.9738	-1
S_386330N1217103W001	612280.2235	4276840.697	9537	-279	-269	-1
S_386401N1216605W001	616620.8362	4277690.963	9661	-118.22	-98.22	-1
S_386410N1213995W001	639248.2202	4278153.45	10138	-481.47	-461.0229	-1
S_386421N1215583W001	625494.8583	4278047.513	10456	-143	-129	-1
S_386450N1217471W001	609041.4801	4278127.71	9303	-203.23	-153.23	-1
S_386464N1216675W001	615914.4131	4278379.941	9662	-61.49	-51.49	-1
S_386464N1216675W002	615914.4131	4278379.941	9662	-121.49	-111.49	-1
S_386464N1216675W003	615914.4131	4278379.941	9662	-251.49	-231.49	-1
S_386464N1216675W004	615914.4131	4278379.941	9662	-516.49	-506.49	-1
S_386466N1216729W001	615478.9605	4278395.828	9540	-164.2	-144.2	-1
