name	clus_1	clus_2	clus_3	clus_4	clus_5	clus_6	clus_7	clus_8	clus_9	clus_10	memb	cluster	subregion
S_380313N1219426W001	0.9851	0	0.0026	0.0122	0	0.0001	0	0	0	0	1	1	sub6
S_381626N1213651W001	0	0.9997	0.0003	0	0	0	0	0	0	0	2	2	sub7
S_382346N1211464W001	0.0005	0.1878	0.4888	0.0028	0.3193	0	0.0001	0.0006	0.0001	0	3	3	sub8
S_382615N1220919W001	0.0001	0.001	0.001	0.9964	0	0.0008	0.0003	0.0001	0	0.0003	4	4	sub6
S_382623N1212973W001	0.0723	0.1217	0.7261	0.0091	0.0657	0.001	0.0002	0.002	0.0016	0.0001	3	3	sub8
S_382939N1213904W001	0.0196	0.485	0.4573	0.0373	0.0001	0.0005	0	0	0.0002	0	2	2	sub8
S_382940N1213379W001	0	0	0	0	1	0	0	0	0	0	5	5	sub8
S_383009N1214224W001	0.8885	0.0012	0.0133	0.0008	0.0952	0.0004	0	0	0.0007	0	1	1	sub8
S_383270N1214736W001	0.2195	0.1968	0.0272	0.5093	0.0004	0.0419	0.0001	0.0001	0.004	0.0008	4	4	sub9
S_383483N1213280W001	0	0	0	0	1	0	0	0	0	0	5	5	sub8
S_383527N1211081W001	0.7263	0.0001	0.0379	0.0054	0.2264	0.0009	0.0007	0.0003	0.0021	0.0001	1	1	sub8
S_383636N1212922W001	0	0	0	0	1	0	0	0	0	0	5	5	sub8
S_384159N1217303W001	0.0005	0.4972	0.0057	0.4496	0.0002	0.0056	0.0196	0.0165	0.0005	0.0046	2	2	sub9
S_384159N1217303W002	0.0994	0.0795	0.0369	0.4346	0.0002	0.308	0.0004	0.0006	0.04	0.0003	4	4	sub9
S_384159N1217303W003	0.3067	0.0063	0.0154	0.0448	0.0001	0.4776	0.0002	0.0005	0.1482	0.0001	6	6	sub9
S_384183N1212123W001	0	0	0	0	1	0	0	0	0	0	5	5	sub8
S_384600N1211432W001	0.0499	0.198	0.012	0.0453	0.1608	0.0141	0.3966	0.024	0.0522	0.047	7	7	sub8
S_384899N1218682W001	0	0.0004	0	0	0.9993	0	0.0002	0	0	0	5	5	sub6
S_384931N1211797W001	0.0003	0.0035	0.001	0	0.9953	0	0	0	0	0	5	5	sub8
S_385106N1219735W001	0.0919	0.0048	0.4197	0.0002	0.4831	0	0	0	0.0002	0	5	5	sub6
S_385567N1214751W001	0	0.0005	0.0001	0	0.9993	0	0	0	0	0	5	5	sub8
S_385687N1218046W001	0	0.0002	0	0	0.9998	0	0	0	0	0	5	5	sub6
S_385828N1213385W001	0.0002	0.3174	0.0066	0.6616	0.0018	0.0002	0.0107	0.0005	0.0004	0.0006	4	4	sub7
S_385841N1214185W001	0.0002	0.0002	0.0004	0.9992	0	0	0	0	0	0	4	4	sub7
S_385914N1212475W001	0.0003	0.8015	0.0011	0.1919	0.0001	0.0021	0.0013	0.0006	0.0006	0.0006	2	2	sub8
S_385923N1211621W001	0.0014	0.5238	0.0028	0.0452	0.1103	0.0113	0.2149	0.0156	0.0022	0.0726	2	2	sub8
S_385947N1213985W001	0	0	0	0	0	0.9976	0.0002	0	0.0001	0.0021	6	6	sub7
S_385947N1213985W002	0	0	0	0	0	0.9907	0	0	0	0.0092	6	6	sub7
S_385947N1213985W003	0	0.0003	0	0	0	0.9929	0.0001	0	0.0001	0.0067	6	6	sub7
