Node	1	2	3	4
1	NoUnit	NoUnit	NoUnit	NoUnit
2	NoUnit	NoUnit	NoUnit	NoUnit
3	NoUnit	NoUnit	NoUnit	NoUnit
4	NoUnit	NoUnit	NoUnit	NoUnit
5	NoUnit	NoUnit	NoUnit	NoUnit
6	NoUnit	NoUnit	NoUnit	NoUnit
7	NoUnit	NoUnit	NoUnit	NoUnit
8	NoUnit	NoUnit	NoUnit	NoUnit
9	NoUnit	NoUnit	NoUnit	NoUnit
10	NoUnit	NoUnit	NoUnit	NoUnit
11	NoUnit	NoUnit	NoUnit	NoUnit
12	NoUnit	NoUnit	NoUnit	NoUnit
13	NoUnit	NoUnit	NoUnit	NoUnit
14	NoUnit	NoUnit	NoUnit	NoUnit
15	NoUnit	NoUnit	NoUnit	NoUnit
16	NoUnit	NoUnit	NoUnit	NoUnit
17	NoUnit	NoUnit	NoUnit	NoUnit
18	NoUnit	NoUnit	NoUnit	NoUnit
19	NoUnit	NoUnit	NoUnit	NoUnit
20	NoUnit	NoUnit	NoUnit	NoUnit
21	NoUnit	NoUnit	NoUnit	NoUnit
22	NoUnit	NoUnit	NoUnit	NoUnit
23	NoUnit	NoUnit	NoUnit	NoUnit
24	NoUnit	NoUnit	NoUnit	NoUnit
25	NoUnit	NoUnit	NoUnit	NoUnit
26	NoUnit	NoUnit	NoUnit	NoUnit
27	NoUnit	NoUnit	NoUnit	NoUnit
28	NoUnit	NoUnit	NoUnit	NoUnit
29	NoUnit	NoUnit	NoUnit	NoUnit
30	NoUnit	NoUnit	NoUnit	NoUnit
31	NoUnit	NoUnit	NoUnit	NoUnit
32	NoUnit	NoUnit	NoUnit	NoUnit
33	NoUnit	NoUnit	NoUnit	NoUnit
34	NoUnit	NoUnit	NoUnit	NoUnit
35	NoUnit	NoUnit	NoUnit	NoUnit
36	NoUnit	NoUnit	NoUnit	NoUnit
37	NoUnit	NoUnit	NoUnit	NoUnit
38	NoUnit	NoUnit	NoUnit	NoUnit
39	NoUnit	NoUnit	NoUnit	NoUnit
40	NoUnit	NoUnit	NoUnit	NoUnit
41	NoUnit	NoUnit	NoUnit	NoUnit
42	NoUnit	NoUnit	NoUnit	NoUnit
43	NoUnit	NoUnit	NoUnit	NoUnit
44	NoUnit	NoUnit	NoUnit	NoUnit
45	NoUnit	NoUnit	NoUnit	NoUnit
46	NoUnit	NoUnit	NoUnit	NoUnit
47	NoUnit	NoUnit	NoUnit	NoUnit
48	NoUnit	NoUnit	NoUnit	NoUnit
49	NoUnit	NoUnit	NoUnit	NoUnit
50	NoUnit	NoUnit	NoUnit	NoUnit
51	NoUnit	NoUnit	NoUnit	NoUnit
52	NoUnit	NoUnit	NoUnit	NoUnit
53	NoUnit	NoUnit	NoUnit	NoUnit
54	NoUnit	NoUnit	NoUnit	NoUnit
55	NoUnit	NoUnit	NoUnit	NoUnit
56	NoUnit	NoUnit	NoUnit	NoUnit
57	NoUnit	NoUnit	NoUnit	NoUnit
58	NoUnit	NoUnit	NoUnit	NoUnit
59	NoUnit	NoUnit	NoUnit	NoUnit
60	NoUnit	NoUnit	NoUnit	NoUnit
61	NoUnit	NoUnit	NoUnit	NoUnit
62	NoUnit	NoUnit	NoUnit	NoUnit
63	NoUnit	NoUnit	NoUnit	NoUnit
64	NoUnit	NoUnit	NoUnit	NoUnit
65	NoUnit	NoUnit	NoUnit	NoUnit
66	NoUnit	NoUnit	NoUnit	NoUnit
67	NoUnit	NoUnit	NoUnit	NoUnit
68	NoUnit	NoUnit	NoUnit	NoUnit
69	NoUnit	NoUnit	NoUnit	NoUnit
70	NoUnit	NoUnit	NoUnit	NoUnit
71	NoUnit	NoUnit	NoUnit	NoUnit
72	NoUnit	NoUnit	NoUnit	NoUnit
73	NoUnit	NoUnit	NoUnit	NoUnit
74	NoUnit	NoUnit	NoUnit	NoUnit
75	NoUnit	NoUnit	NoUnit	NoUnit
76	NoUnit	NoUnit	NoUnit	NoUnit
77	NoUnit	NoUnit	NoUnit	NoUnit
78	NoUnit	NoUnit	NoUnit	NoUnit
79	NoUnit	NoUnit	NoUnit	NoUnit
80	NoUnit	NoUnit	NoUnit	NoUnit
81	NoUnit	NoUnit	NoUnit	NoUnit
82	NoUnit	NoUnit	NoUnit	NoUnit
83	NoUnit	NoUnit	NoUnit	NoUnit
84	NoUnit	NoUnit	NoUnit	NoUnit
85	NoUnit	NoUnit	NoUnit	NoUnit
86	NoUnit	NoUnit	NoUnit	NoUnit
87	NoUnit	NoUnit	NoUnit	NoUnit
88	NoUnit	NoUnit	NoUnit	NoUnit
89	NoUnit	NoUnit	NoUnit	NoUnit
90	NoUnit	NoUnit	NoUnit	NoUnit
91	NoUnit	NoUnit	NoUnit	NoUnit
92	NoUnit	NoUnit	NoUnit	NoUnit
93	NoUnit	NoUnit	NoUnit	NoUnit
94	NoUnit	NoUnit	NoUnit	NoUnit
95	NoUnit	NoUnit	NoUnit	NoUnit
96	NoUnit	NoUnit	NoUnit	NoUnit
97	NoUnit	NoUnit	NoUnit	NoUnit
98	NoUnit	NoUnit	NoUnit	NoUnit
99	NoUnit	NoUnit	NoUnit	NoUnit
100	NoUnit	NoUnit	NoUnit	NoUnit
101	NoUnit	NoUnit	NoUnit	NoUnit
102	NoUnit	NoUnit	NoUnit	NoUnit
103	NoUnit	NoUnit	NoUnit	NoUnit
104	NoUnit	NoUnit	NoUnit	NoUnit
105	NoUnit	NoUnit	NoUnit	NoUnit
106	NoUnit	NoUnit	NoUnit	NoUnit
