name	clus_1	clus_2	clus_3	memb	i.cluster	subregion
C_367805N1203718W001	0.98581332	0.002907624	0.011279056	1	1	sub10
C_368510N1205996W001	0.964254106	0.02027769	0.015468204	1	1	sub10
C_368716N1207366W001	0.001748127	0.993160424	0.005091449	2	2	sub10
C_369299N1206860W001	0.493649992	0.323319733	0.183030275	1	1	sub10
C_369477N1206907W001	0.956129725	0.042975447	0.000894829	1	1	sub10
C_369482N1206907W001	0.909137443	0.015167834	0.075694724	1	1	sub10
C_369485N1206907W001	0.000821208	0.028069036	0.971109756	3	3	sub10
C_369549N1208371W001	0.000183408	0.008445699	0.991370893	3	3	sub10
C_369618N1208460W001	0.002201791	0.0000063	0.997791909	3	3	sub10
C_369680N1208463W001	0.000188776	0.002857954	0.996953269	3	3	sub10
C_369691N1208427W001	7.079E-07	4.5179E-06	0.999994774	3	3	sub10
C_369696N1208527W001	0.004030146	0.012265268	0.983704587	3	3	sub10
C_369760N1208485W001	0.011672927	0.000269242	0.988057831	3	3	sub10
C_369768N1208002W001	0.000365787	0.000499844	0.99913437	3	3	sub10
C_369857N1207177W001	0.998949152	0.001016483	3.43646E-05	1	1	sub10
C_369857N1207177W003	0.960488867	0.007682204	0.031828929	1	1	sub10
C_369907N1208827W001	3.03E-08	1.011E-07	0.999999869	3	3	sub10
C_369952N1208191W001	0.000167626	0.005945581	0.993886793	3	3	sub10
C_369980N1208852W001	3.04E-08	1.448E-07	0.999999825	3	3	sub10
C_369982N1207813W001	0.008917503	0.389500468	0.601582029	3	3	sub10
C_369982N1208671W001	1.195E-07	6.898E-07	0.999999191	3	3	sub10
C_369985N1208766W001	0.001910102	0.000025132	0.998064766	3	3	sub10
C_369985N1208863W001	0.000000118	9.356E-07	0.999998946	3	3	sub10
C_369988N1208638W001	9.87935E-05	1.3954E-06	0.999899811	3	3	sub10
C_370005N1208429W001	3.282E-07	1.21494E-05	0.999987522	3	3	sub10
C_370013N1208499W001	5.7E-09	9.67E-08	0.999999898	3	3	sub10
C_370021N1208713W001	3.6E-09	7.17E-08	0.999999925	3	3	sub10
C_370021N1209010W001	8.2E-09	4.8E-09	0.999999987	3	3	sub10
C_370024N1209071W001	9.01183E-05	2.04902E-05	0.999889392	3	3	sub10
C_370060N1208363W001	0.000386652	0.468451928	0.53116142	3	3	sub10
C_370060N1208821W001	0.070641065	0.000138897	0.929220038	3	3	sub10
C_370060N1208904W001	2.3E-09	0.000824042	0.999175956	3	3	sub10
C_370102N1208907W001	1.32102E-05	0.022328227	0.977658563	3	3	sub10
C_370130N1207991W001	0.036189395	0.573436351	0.390374254	2	2	sub10
C_370132N1208329W001	6.8E-09	1.6926E-06	0.999998301	3	3	sub10
C_370185N1208416W001	2.233E-07	2.274E-07	0.999999549	3	3	sub10
C_370185N1208904W001	4.45026E-05	3.283E-07	0.999955169	3	3	sub10
C_370196N1209007W001	7.75686E-05	0.02319188	0.976730552	3	3	sub10
C_370216N1208746W001	4.42E-08	4.212E-07	0.999999535	3	3	sub10
C_370268N1208774W001	0.000001626	4.0888E-06	0.999994285	3	3	sub10
C_370271N1208571W001	4.3534E-06	3.7849E-06	0.999991862	3	3	sub10
C_370271N1208654W001	0	5.9E-09	0.999999994	3	3	sub10
C_370277N1208968W001	0.003380153	4.31101E-05	0.996576737	3	3	sub10
C_370307N1209082W001	2.88673E-05	0.759882483	0.24008865	2	2	sub10
C_370327N1206185W001	0.006487226	0.990603664	0.00290911	2	2	sub10
C_370327N1206310W001	0.023676812	0.972421054	0.003902134	2	2	sub10
C_370332N1208399W001	5.128E-07	0.000002314	0.999997173	3	3	sub10
C_370368N1208502W001	1.5E-09	6.6E-09	0.999999992	3	3	sub10
C_370391N1206385W001	0.99873436	0.000960063	0.000305577	1	1	sub10
C_370413N1208929W001	0.00010854	0.999695248	0.000196213	2	2	sub10
C_370416N1208127W001	0.000696099	0.000557339	0.998746562	3	3	sub10
C_370424N1208816W001	6.36E-08	5.00331E-05	0.999949903	3	3	sub10
C_370443N1209129W001	0.000137382	0.999766883	9.57344E-05	2	2	sub10
C_370463N1208554W001	1.92005E-05	0.000593527	0.999387273	3	3	sub10
C_370513N1208938W001	8.8691E-06	0.004248582	0.995742549	3	3	sub10
C_370543N1206316W001	0.01897946	0.977655292	0.003365248	2	2	sub10
C_370599N1206118W001	0.996492431	0.002575001	0.000932568	1	1	sub10
C_370605N1208038W001	0.989060295	0.000386316	0.010553389	1	1	sub10
C_370610N1208904W001	0.985385288	0.00097911	0.013635603	1	1	sub10
C_370630N1209266W001	0.407886788	0.088291187	0.503822025	3	3	sub10
C_370643N1207088W001	0.007120882	0.991712818	0.0011663	2	2	sub10
C_370649N1206818W001	0.000231106	0.999260912	0.000507982	2	2	sub10
C_370655N1209118W001	0.869483755	0.001154009	0.129362236	1	1	sub10
C_370655N1209485W001	0.00932237	0.895169939	0.095507691	2	2	sub10
C_370660N1207963W001	0.999878321	8.24484E-05	0.000039231	1	1	sub10
