name	clus_1	clus_2	clus_3	memb	i.cluster	subregion
C_358039N1196004W001	0.999889991	0.000105698	4.3107E-06	1	1	sub14sub15
C_358042N1195554W001	0.861952863	0.079703772	0.058343365	1	1	sub14sub15
C_358181N1195785W001	1.12307E-05	0.999279715	0.000709055	2	2	sub14sub15
C_360675N1202177W001	0.882072696	0.070070761	0.047856544	1	1	sub14sub15
C_360694N1202227W001	0.999019453	0.000669391	0.000311156	1	1	sub14sub15
C_360706N1202149W001	0.998835857	0.000200787	0.000963356	1	1	sub14sub15
C_360714N1202096W001	0.141662945	0.025896748	0.832440307	3	3	sub14sub15
C_360753N1202185W001	0.999649526	0.000200336	0.000150138	1	1	sub14sub15
C_360833N1202254W001	0.999583546	0.000224643	0.000191811	1	1	sub14sub15
C_360872N1202127W001	0.999892513	4.70218E-05	6.04656E-05	1	1	sub14sub15
C_360903N1202354W001	0.047447289	0.013972957	0.938579754	3	3	sub14sub15
C_360939N1202321W001	0.990235601	0.003120024	0.006644375	1	1	sub14sub15
C_360939N1202452W001	0.030355729	0.001223838	0.968420433	3	3	sub14sub15
C_360978N1195360W001	2.272E-07	6.22647E-05	0.999937508	3	3	sub14sub15
C_361078N1202988W001	0.000105196	4.14499E-05	0.999853354	3	3	sub14sub15
C_361089N1202296W001	0.932932197	0.003959374	0.063108429	1	1	sub14sub15
C_361089N1202363W001	0.738790402	0.000423934	0.260785664	1	1	sub14sub15
C_361119N1202585W001	0.047334455	0.006612046	0.946053499	3	3	sub14sub15
C_361125N1203341W001	0.968177155	0.010605253	0.021217591	1	1	sub14sub15
C_361158N1202452W001	0.010850561	0.000845537	0.988303902	3	3	sub14sub15
C_361164N1202179W001	0.067883941	0.002300883	0.929815176	3	3	sub14sub15
C_361214N1202693W001	0.002628081	0.001102535	0.996269384	3	3	sub14sub15
C_361217N1202696W001	0.004156116	0.000271081	0.995572804	3	3	sub14sub15
C_361222N1203343W001	0.969526447	0.002186647	0.028286906	1	1	sub14sub15
C_361231N1202532W001	0.007316826	0.001391239	0.991291935	3	3	sub14sub15
C_361233N1202366W001	0.005036619	0.001376118	0.993587263	3	3	sub14sub15
C_361233N1203571W001	0.999322486	0.00047795	0.000199565	1	1	sub14sub15
C_361303N1203257W001	0.77371699	0.014877571	0.211405438	1	1	sub14sub15
C_361372N1202899W001	0.752025556	0.201578328	0.046396116	1	1	sub14sub15
C_361381N1195482W001	6.0917E-06	0.999824313	0.000169595	2	2	sub14sub15
C_361383N1200116W001	0.987934643	0.005792789	0.006272568	1	1	sub14sub15
