name	clus_1	clus_2	clus_3	memb	i.cluster	subregion
C_357939N1192415W001	0.766724822	0.226257366	0.007017812	1	1	sub16sub17sub18
C_357944N1192145W001	0.999875843	1.22442E-05	0.000111913	1	1	sub16sub17sub18
C_357986N1193670W001	0.00008468	0.998724469	0.001190851	2	2	sub16sub17sub18
C_358019N1192326W001	0.017780518	0.957222459	0.024997024	2	2	sub16sub17sub18
C_358103N1193251W001	0.931654225	0.04737781	0.020967965	1	1	sub16sub17sub18
C_358192N1193178W001	0.014761987	0.97234242	0.012895593	2	2	sub16sub17sub18
C_358194N1194649W002	0.041735119	0.070969383	0.887295498	3	3	sub16sub17sub18
C_358231N1191126W001	0.002297225	0.997332878	0.000369897	2	2	sub16sub17sub18
C_358344N1191612W001	0.999997499	1.36E-08	2.4869E-06	1	1	sub16sub17sub18
C_358347N1194649W001	0.048875316	0.036950229	0.914174455	3	3	sub16sub17sub18
C_358425N1192237W001	0.075886348	0.917576963	0.006536689	2	2	sub16sub17sub18
C_358456N1191215W001	5.85655E-05	0.999683798	0.000257636	2	2	sub16sub17sub18
C_358494N1192287W001	0.008120523	0.989934373	0.001945104	2	2	sub16sub17sub18
C_358561N1192948W001	0.000380106	0.997006363	0.002613531	2	2	sub16sub17sub18
C_358625N1191442W001	0.000232016	0.999736346	3.16381E-05	2	2	sub16sub17sub18
C_358625N1193756W001	2.11075E-05	0.996747269	0.003231624	2	2	sub16sub17sub18
C_358650N1191262W001	2.7224E-06	0.999959496	3.77822E-05	2	2	sub16sub17sub18
C_358650N1191537W001	0.012914336	0.983885799	0.003199865	2	2	sub16sub17sub18
C_358667N1191703W001	0.151916641	0.804760047	0.043323313	2	2	sub16sub17sub18
C_358703N1191287W001	0.001019368	0.998591818	0.000388814	2	2	sub16sub17sub18
C_358711N1193926W001	0.001372637	0.997617226	0.001010137	2	2	sub16sub17sub18
C_358731N1191167W001	5.83357E-05	0.999497808	0.000443857	2	2	sub16sub17sub18
C_358758N1191437W001	4.56992E-05	0.999817829	0.000136472	2	2	sub16sub17sub18
C_358778N1191517W001	0.999975073	0.000010695	1.42318E-05	1	1	sub16sub17sub18
C_358789N1194832W001	0.001617807	0.588710662	0.409671531	2	2	sub16sub17sub18
C_358806N1194463W001	9.1943E-06	0.998680694	0.001310112	2	2	sub16sub17sub18
C_358842N1191170W001	9.7564E-06	0.999981219	9.0247E-06	2	2	sub16sub17sub18
C_358842N1191176W001	1.49846E-05	0.99992507	5.99454E-05	2	2	sub16sub17sub18
C_358850N1192862W001	0.012076463	0.982526792	0.005396746	2	2	sub16sub17sub18
C_358856N1191265W001	0.000269994	0.998965252	0.000764755	2	2	sub16sub17sub18
C_358872N1194463W001	0.004566908	0.393348592	0.602084501	3	3	sub16sub17sub18
C_358881N1190581W001	0.000692011	0.998463375	0.000844615	2	2	sub16sub17sub18
C_358883N1190948W001	0.015925549	0.980088204	0.003986247	2	2	sub16sub17sub18
