name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	i.cluster	subregion
C_350164N1189274W001	0.999788641	0.000148511	1.44317E-05	8.9992E-06	3.94173E-05	1	1	sub19sub20sub21
C_350308N1188465W001	0.999993543	2.2017E-06	1.3395E-06	2.787E-07	2.6372E-06	1	1	sub19sub20sub21
C_350311N1188642W001	0.999999963	3.67E-08	0	1E-10	0	1	1	sub19sub20sub21
C_350314N1188806W001	0.999519329	0.000468607	2.5484E-06	8.3328E-06	1.1825E-06	1	1	sub19sub20sub21
C_350322N1188766W001	0.999906541	9.20529E-05	3.967E-07	6.315E-07	0.000000378	1	1	sub19sub20sub21
C_350342N1188465W001	0.703935764	0.29540551	0.000113693	0.000472678	7.23544E-05	1	1	sub19sub20sub21
C_350347N1188423W001	0.000362819	0.99697589	0.000069249	0.000653055	0.001938988	2	2	sub19sub20sub21
C_350372N1189687W001	0.999999997	3.3E-09	0	0	0	1	1	sub19sub20sub21
C_350380N1188654W001	0.999896229	0.000101723	6.217E-07	1.1602E-06	2.662E-07	1	1	sub19sub20sub21
C_350397N1189310W001	0.999999996	3.8E-09	0	0	0	1	1	sub19sub20sub21
C_350419N1190307W001	0.999999999	0.000000001	1E-10	0	2E-10	1	1	sub19sub20sub21
C_350425N1189674W001	0.99845203	0.000405383	0.000968036	4.33398E-05	0.000131211	1	1	sub19sub20sub21
C_350456N1189184W001	0.999763532	0.000219221	1.21236E-05	3.5403E-06	1.5832E-06	1	1	sub19sub20sub21
C_350489N1190648W001	0.99999936	6.219E-07	0.000000014	8E-10	0.000000003	1	1	sub19sub20sub21
C_350527N1188566W001	0.999962638	3.72666E-05	2.58E-08	5.88E-08	1.11E-08	1	1	sub19sub20sub21
C_350527N1189099W001	0.096357538	0.175222195	0.69636131	0.018913355	0.013145603	3	3	sub19sub20sub21
C_350530N1188379W001	0.992602142	0.007064092	0.000106819	0.000154522	7.24243E-05	1	1	sub19sub20sub21
C_350531N1188890W001	0.999998709	1.2872E-06	0.000000001	1.1E-09	1.7E-09	1	1	sub19sub20sub21
