name	clus_1	clus_2	clus_3	memb	cluster	subregion
S_397008N1221208W001	0.7672161199	0.0119015194	0.2208823607	1	1	sub1sub2
S_397008N1221208W002	0.0807048629	0.9188498781	0.0004452590	2	2	sub1sub2
S_397008N1221208W003	0.0000566769	0.9999310573	0.0000122658	2	2	sub1sub2
S_397033N1220910W001	0.0000201350	0.0000490133	0.9999308517	3	3	sub1sub2
S_397033N1220910W002	0.8807802278	0.0008870752	0.1183326970	1	1	sub1sub2
S_397033N1220910W003	0.9999700425	0.0000297604	0.0000001971	1	1	sub1sub2
S_397033N1220910W004	0.0004874474	0.9995065377	0.0000060149	2	2	sub1sub2
S_397043N1220386W001	0.9588003318	0.0371159366	0.0040837317	1	1	sub1sub2
S_397043N1220386W002	0.5220139358	0.3101944327	0.1677916315	1	1	sub1sub2
S_397043N1220387W001	0.9999999206	0.0000000019	0.0000000775	1	1	sub1sub2
S_397043N1220387W002	0.9999999534	0.0000000356	0.0000000109	1	1	sub1sub2
S_397090N1220542W001	0.9974535737	0.0001361885	0.0024102377	1	1	sub1sub2
S_397253N1221812W001	0.0026678253	0.9883169700	0.0090152047	2	2	sub1sub2
S_397263N1220105W001	0.0004097396	0.0000209648	0.9995692956	3	3	sub1sub2
S_397263N1220105W002	0.6746211547	0.0000276493	0.3253511959	1	1	sub1sub2
S_397263N1220105W003	0.9999994308	0.0000004345	0.0000001347	1	1	sub1sub2
S_397270N1218841W001	0.1990746844	0.0392789407	0.7616463749	3	3	sub1sub2
S_397279N1222071W001	0.0000000035	0.9999999965	0.0000000000	2	2	sub1sub2
S_397279N1222071W002	0.1280636733	0.8714763834	0.0004599433	2	2	sub1sub2
S_397279N1222071W003	0.1794566382	0.1879249366	0.6326184252	3	3	sub1sub2
S_397317N1218649W001	0.9999756528	0.0000054295	0.0000189178	1	1	sub1sub2
S_397317N1218649W002	0.9985658607	0.0006107658	0.0008233734	1	1	sub1sub2
S_397317N1218649W003	0.9493764741	0.0007844081	0.0498391178	1	1	sub1sub2
S_397325N1221233W001	0.0000229274	0.0000236322	0.9999534403	3	3	sub1sub2
S_397325N1221233W002	0.9998405284	0.0001590188	0.0000004528	1	1	sub1sub2
S_397325N1221233W003	0.0035599887	0.9448535905	0.0515864208	2	2	sub1sub2
S_397445N1218905W001	0.8147078307	0.1104075643	0.0748846050	1	1	sub1sub2
S_397473N1221559W001	0.0001236937	0.9973116639	0.0025646424	2	2	sub1sub2
S_397473N1221559W002	0.9999999349	0.0000000645	0.0000000005	1	1	sub1sub2
S_397634N1220771W001	0.0008704288	0.0002384206	0.9988911506	3	3	sub1sub2
S_397634N1220771W002	0.9999996246	0.0000003206	0.0000000549	1	1	sub1sub2
S_397634N1220771W003	0.9997820949	0.0000576968	0.0001602082	1	1	sub1sub2
S_397634N1220771W004	0.1035274171	0.0029067490	0.8935658339	3	3	sub1sub2
S_397682N1221364W001	0.0000475705	0.0068969843	0.9930554452	3	3	sub1sub2
S_397682N1221364W002	0.9999999998	0.0000000001	0.0000000000	1	1	sub1sub2
S_397682N1221364W003	0.9999999960	0.0000000030	0.0000000011	1	1	sub1sub2
S_397752N1220970W001	0.9995976728	0.0001723421	0.0002299851	1	1	sub1sub2
S_397836N1220461W001	0.0013104049	0.0000259508	0.9986636443	3	3	sub1sub2
S_397836N1220461W002	0.9999999422	0.0000000055	0.0000000523	1	1	sub1sub2
S_397836N1220461W003	0.9999996277	0.0000002537	0.0000001186	1	1	sub1sub2
S_397866N1221455W001	0.9999999985	0.0000000007	0.0000000008	1	1	sub1sub2
S_397866N1221455W002	0.9999999987	0.0000000012	0.0000000001	1	1	sub1sub2
S_397866N1221455W003	0.9999999942	0.0000000057	0.0000000000	1	1	sub1sub2
S_398028N1220294W001	0.0330186992	0.0005200643	0.9664612364	3	3	sub1sub2
S_398028N1220294W002	0.9999999895	0.0000000010	0.0000000095	1	1	sub1sub2
S_398028N1220294W003	0.9999979629	0.0000008521	0.0000011851	1	1	sub1sub2
S_398117N1221020W001	0.9999999948	0.0000000042	0.0000000009	1	1	sub1sub2
S_398117N1221020W002	0.0000512797	0.0000106387	0.9999380816	3	3	sub1sub2
S_398117N1221020W003	0.0139119032	0.0054997472	0.9805883495	3	3	sub1sub2
S_398117N1221020W004	0.9999989631	0.0000009022	0.0000001347	1	1	sub1sub2
S_398180N1219669W001	0.9999998543	0.0000000266	0.0000001191	1	1	sub1sub2
S_398188N1219912W001	0.9775512148	0.0000709799	0.0223778053	1	1	sub1sub2
S_398188N1219912W002	0.9999969067	0.0000000101	0.0000030832	1	1	sub1sub2
S_398188N1219912W003	0.9999997056	0.0000000068	0.0000002876	1	1	sub1sub2
S_398188N1219912W004	0.9977950424	0.0000355214	0.0021694362	1	1	sub1sub2
S_398193N1221590W001	0.9999635749	0.0000358971	0.0000005279	1	1	sub1sub2
S_398193N1221590W002	0.0045341644	0.9539631186	0.0415027171	2	2	sub1sub2
S_398193N1221590W003	0.9999930969	0.0000068283	0.0000000748	1	1	sub1sub2
S_398193N1221590W004	0.9999981273	0.0000018124	0.0000000603	1	1	sub1sub2
S_398260N1221876W001	0.4556268137	0.3580718386	0.1863013478	1	1	sub1sub2
S_398493N1222016W001	0.0000026534	0.9999962874	0.0000010592	2	2	sub1sub2
S_398543N1221535W001	0.0000031947	0.9999865017	0.0000103036	2	2	sub1sub2
S_398543N1221535W002	0.0000272485	0.9999251383	0.0000476132	2	2	sub1sub2
S_398543N1221535W003	0.7103799299	0.2896155569	0.0000045131	1	1	sub1sub2
S_398543N1221535W004	0.0026769194	0.9973181808	0.0000048998	2	2	sub1sub2
S_398543N1221535W005	0.8806044367	0.0961731546	0.0232224086	1	1	sub1sub2
S_398623N1221536W001	0.0000015206	0.9999980667	0.0000004127	2	2	sub1sub2
S_398651N1219930W001	0.9922715929	0.0000047945	0.0077236125	1	1	sub1sub2
S_398782N1219570W001	0.9977133076	0.0022248034	0.0000618890	1	1	sub1sub2
S_398782N1219570W002	0.9997943609	0.0000384587	0.0001671803	1	1	sub1sub2
S_398782N1219570W003	0.0138855001	0.8339393009	0.1521751990	2	2	sub1sub2
S_398996N1221227W001	0.9999999933	0.0000000043	0.0000000024	1	1	sub1sub2
S_398996N1221227W002	0.9999729041	0.0000270612	0.0000000347	1	1	sub1sub2
S_399030N1222246W001	0.0134838122	0.9865158269	0.0000003609	2	2	sub1sub2
S_399030N1222246W002	0.0000045596	0.9999954389	0.0000000015	2	2	sub1sub2
S_399030N1222246W003	0.0000000065	0.9999999935	0.0000000000	2	2	sub1sub2
S_399078N1220721W001	0.9483204961	0.0511710833	0.0005084207	1	1	sub1sub2
S_399078N1220721W002	0.9999980632	0.0000007084	0.0000012284	1	1	sub1sub2
S_399251N1220436W001	0.8230339557	0.1751652242	0.0018008200	1	1	sub1sub2
