name	clus_1	clus_2	clus_3	clus_4	memb	cluster	subregion
S_387793N1218123W001	0.9530970333	0.0000001933	0.0464883001	0.0004144733	1	1	sub3sub4
S_387793N1218123W002	0.9999982643	0.0000000160	0.0000017110	0.0000000087	1	1	sub3sub4
S_387793N1218123W003	0.9999943842	0.0000005887	0.0000048216	0.0000002055	1	1	sub3sub4
S_387793N1218123W004	0.9999832602	0.0000022124	0.0000137567	0.0000007708	1	1	sub3sub4
S_387849N1217742W001	0.9897038259	0.0000005999	0.0038245912	0.0064709831	1	1	sub3sub4
S_387985N1217275W001	0.9999999753	0.0000000006	0.0000000240	0.0000000001	1	1	sub3sub4
S_387985N1217275W002	0.9999999969	0.0000000000	0.0000000031	0.0000000000	1	1	sub3sub4
S_387985N1217275W003	0.9999999910	0.0000000001	0.0000000089	0.0000000000	1	1	sub3sub4
S_388068N1217384W001	0.8146417753	0.0000000831	0.1853575593	0.0000005822	1	1	sub3sub4
S_388068N1217384W003	0.9999920703	0.0000000023	0.0000079215	0.0000000059	1	1	sub3sub4
S_388361N1217778W002	0.0030753979	0.8895685850	0.0466882349	0.0606677823	2	2	sub3sub4
S_388362N1218352W001	0.9999325472	0.0000000005	0.0000674369	0.0000000154	1	1	sub3sub4
S_388368N1217584W002	0.9999377845	0.0000034198	0.0000582252	0.0000005705	1	1	sub3sub4
S_388368N1217584W003	0.9985698203	0.0004086348	0.0009887029	0.0000328420	1	1	sub3sub4
S_388375N1217343W001	0.9999699700	0.0000001848	0.0000296914	0.0000001538	1	1	sub3sub4
S_388393N1217330W002	0.9999947478	0.0000000131	0.0000052303	0.0000000088	1	1	sub3sub4
S_388393N1217330W003	0.9999824167	0.0000009431	0.0000165184	0.0000001218	1	1	sub3sub4
S_388393N1217330W004	0.9997924473	0.0000114167	0.0001944017	0.0000017343	1	1	sub3sub4
S_388635N1218245W001	0.0000001840	0.0000000000	0.9999998158	0.0000000002	3	3	sub3sub4
S_388635N1218245W002	0.9997616219	0.0000000000	0.0002383777	0.0000000004	1	1	sub3sub4
S_388635N1218245W003	0.0006259860	0.0000005924	0.9993388580	0.0000345636	3	3	sub3sub4
S_388691N1217143W001	0.0000027717	0.9999801075	0.0000123514	0.0000047694	2	2	sub3sub4
S_388761N1217094W001	0.0000033837	0.9999647527	0.0000266645	0.0000051991	2	2	sub3sub4
S_388761N1217094W002	0.0000005340	0.9999922469	0.0000055857	0.0000016334	2	2	sub3sub4
S_388761N1217094W003	0.0000041446	0.0000001001	0.9940279406	0.0059678147	3	3	sub3sub4
S_388761N1217094W004	0.0000052072	0.0000003546	0.2484397900	0.7515546482	4	4	sub3sub4
S_388813N1217525W002	0.8246548617	0.0000000091	0.1753447376	0.0000003916	1	1	sub3sub4
S_388813N1217525W003	0.0019861210	0.0000000000	0.9980138789	0.0000000001	3	3	sub3sub4
S_388813N1218219W001	0.0000004630	0.0000000000	0.9999995365	0.0000000004	3	3	sub3sub4
S_388813N1218219W002	0.0014139120	0.0000001732	0.9985103002	0.0000756146	3	3	sub3sub4
S_388813N1218219W003	0.9403482320	0.0000000024	0.0596517446	0.0000000209	1	1	sub3sub4
S_388837N1218762W001	0.0040258389	0.0000000017	0.9959738914	0.0000002680	3	3	sub3sub4
S_388837N1218762W002	0.9999972275	0.0000000000	0.0000027724	0.0000000001	1	1	sub3sub4
S_388847N1219665W001	0.0133411901	0.0000000154	0.0001018013	0.9865569932	4	4	sub3sub4
S_388847N1219665W002	0.9999998877	0.0000000000	0.0000001116	0.0000000007	1	1	sub3sub4
S_388847N1219665W003	0.0000000000	0.0000000000	1.0000000000	0.0000000000	3	3	sub3sub4
S_388957N1218611W001	0.0003271165	0.0000000001	0.9996728077	0.0000000757	3	3	sub3sub4
S_388957N1218611W002	0.9362289891	0.0000000777	0.0637659444	0.0000049888	1	1	sub3sub4
S_388965N1219139W001	0.0000000798	0.0000000012	0.9999517101	0.0000482088	3	3	sub3sub4
S_388965N1219139W002	0.9999996571	0.0000000000	0.0000003429	0.0000000000	1	1	sub3sub4
S_388965N1219139W003	0.9999981981	0.0000000000	0.0000018018	0.0000000001	1	1	sub3sub4
S_389133N1218431W001	0.0000003635	0.0000000016	0.9999916257	0.0000080093	3	3	sub3sub4
S_389133N1218431W002	0.0000032876	0.0000000000	0.9999966882	0.0000000241	3	3	sub3sub4
S_389133N1218431W003	0.9993709512	0.0000000059	0.0006290097	0.0000000333	1	1	sub3sub4
S_389163N1219875W001	0.0000030367	0.0000000160	0.0000024893	0.9999944580	4	4	sub3sub4
S_389163N1219875W002	0.9999990402	0.0000000000	0.0000009598	0.0000000000	1	1	sub3sub4
S_389163N1219875W003	0.9999971535	0.0000000000	0.0000028465	0.0000000000	1	1	sub3sub4
S_389239N1219963W001	0.0000000000	0.0000000000	0.0000000007	0.9999999992	4	4	sub3sub4
