name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	cluster	subregion
S_389398N1216162W001	0.9963280639	0.0001570458	0.0003042070	0.0032094678	0.0000012155	1	1	sub5
S_389410N1215884W001	0.9919828243	0.0000815760	0.0034276542	0.0043884157	0.0001195299	1	1	sub5
S_389452N1215992W001	0.9111438010	0.0043905280	0.0513227180	0.0317844712	0.0013584818	1	1	sub5
S_389452N1215992W002	0.9736925804	0.0006042652	0.0158600646	0.0096413213	0.0002017685	1	1	sub5
S_389452N1215992W003	0.9999764320	0.0000000034	0.0000008752	0.0000226887	0.0000000008	1	1	sub5
S_389452N1215992W004	0.9997243488	0.0000000395	0.0000226305	0.0002529650	0.0000000162	1	1	sub5
S_389453N1216159W001	0.0021413492	0.8437789685	0.0570148920	0.0800996088	0.0169651816	2	2	sub5
S_389454N1215870W001	0.0000490753	0.0000977760	0.9984312802	0.0010420779	0.0003797906	3	3	sub5
S_389509N1215863W001	0.9995735169	0.0002409877	0.0000244780	0.0000845781	0.0000764392	1	1	sub5
S_389525N1216161W001	0.0206656681	0.8586941467	0.0175926446	0.0888934396	0.0141541010	2	2	sub5
S_389563N1215843W001	0.1513264352	0.8375895514	0.0011722053	0.0095930646	0.0003187435	2	2	sub5
S_389571N1215858W001	0.0103480057	0.9830045275	0.0041378548	0.0016065823	0.0009030297	2	2	sub5
S_389628N1215557W001	0.0122267606	0.0000296370	0.0059230581	0.9805186669	0.0013018773	4	4	sub5
S_389665N1215747W001	0.1761914858	0.1159893047	0.1879277949	0.4221041606	0.0977872540	4	4	sub5
S_389677N1215974W001	0.9894188431	0.0026660427	0.0006368934	0.0036903559	0.0035878649	1	1	sub5
S_389680N1215532W001	0.0007430543	0.0000314899	0.2376417026	0.7604139517	0.0011698014	4	4	sub5
S_389708N1215574W001	0.0322919780	0.0000523924	0.0120239059	0.9549111624	0.0007205613	4	4	sub5
S_389786N1216259W001	0.8577583851	0.0069731836	0.0113545574	0.1233574263	0.0005564476	1	1	sub5
S_389813N1216356W001	0.0238909479	0.0002401986	0.0993237624	0.8765116184	0.0000334726	4	4	sub5
S_389857N1214880W001	0.9999469480	0.0000000648	0.0000511597	0.0000018179	0.0000000097	1	1	sub5
S_389857N1214880W002	0.0013081909	0.0000338903	0.9986442942	0.0000048923	0.0000087324	3	3	sub5
S_389857N1214880W003	0.0000135466	0.0000144000	0.9999601139	0.0000007528	0.0000111867	3	3	sub5
S_389860N1215738W001	0.0032858870	0.0026328402	0.2141386169	0.7714668873	0.0084757685	4	4	sub5
S_389868N1215739W001	0.9485820824	0.0337379542	0.0124246048	0.0048964572	0.0003589015	1	1	sub5
S_389918N1215772W001	0.9844759990	0.0103947250	0.0000859601	0.0047729766	0.0002703394	1	1	sub5
S_389928N1215479W001	0.9904774372	0.0000000737	0.0088103276	0.0007114348	0.0000007267	1	1	sub5
S_389928N1215479W002	0.0001270977	0.0000000004	0.9998710084	0.0000018765	0.0000000170	3	3	sub5
S_389928N1215479W003	0.0000851045	0.0000000024	0.9999104488	0.0000043753	0.0000000691	3	3	sub5
S_389932N1215735W001	0.1321341006	0.7152749349	0.0073421039	0.1145251657	0.0307236949	2	2	sub5
S_390087N1216722W001	0.9989498529	0.0000957683	0.0000007925	0.0009533059	0.0000002804	1	1	sub5
S_390087N1216722W002	0.9975475359	0.0000519183	0.0000313276	0.0023691776	0.0000000407	1	1	sub5
S_390087N1216722W003	0.9957408652	0.0000623931	0.0001060418	0.0040906373	0.0000000625	1	1	sub5
S_390174N1214630W001	0.9999918853	0.0000005723	0.0000005460	0.0000065548	0.0000004415	1	1	sub5
S_390174N1214630W002	0.9999934335	0.0000005283	0.0000006695	0.0000052582	0.0000001105	1	1	sub5
