name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_376233N1213247W001	0.998614175	2.8237E-06	0.000012359	0.001370642	1	1	sub8sub9
C_376322N1213413W001	0.022659633	0.839119545	0.12251039	0.015710432	2	2	sub8sub9
C_376391N1213663W001	0.035577047	0.009849627	0.949084345	0.005488981	3	3	sub8sub9
C_376974N1213258W001	0.067253983	0.036537728	0.096948941	0.799259348	4	4	sub8sub9
C_377058N1212998W001	0.075395524	0.004252988	0.879971456	0.040380032	3	3	sub8sub9
C_377061N1214199W001	0.999961544	1.89087E-05	1.04683E-05	9.0789E-06	1	1	sub8sub9
C_377112N1213611W001	0.149773227	0.205980615	0.621848849	0.022397309	3	3	sub8sub9
C_377341N1213039W001	0.128479956	0.010070473	0.624218222	0.237231349	3	3	sub8sub9
C_377380N1212753W001	0.000876807	0.000366778	0.996388948	0.002367467	3	3	sub8sub9
C_377538N1215138W001	0.998518003	0.000645724	0.000783145	5.31279E-05	1	1	sub8sub9
C_377547N1214763W001	0.999794269	0.000138366	5.36779E-05	1.36874E-05	1	1	sub8sub9
C_377562N1213777W001	0.149343381	0.01307519	0.774836562	0.062744867	3	3	sub8sub9
C_377813N1214420W001	0.002309873	0.00074332	0.996324062	0.000622745	3	3	sub8sub9
C_377976N1214560W001	0.003513638	0.000454446	0.995246467	0.00078545	3	3	sub8sub9
C_378242N1211379W001	1.07819E-05	0.002959098	0.000035618	0.996994502	4	4	sub8sub9
C_378280N1210256W001	0.002075648	0.792449642	0.201191847	0.004282863	2	2	sub8sub9
C_378431N1210816W001	2E-10	0.999995977	5.1E-09	4.0178E-06	2	2	sub8sub9
C_378459N1210196W001	1.3763E-06	0.999835248	0.000149966	1.34103E-05	2	2	sub8sub9
C_378461N1211456W001	4.5547E-06	0.813243676	9.98255E-05	0.186651943	2	2	sub8sub9
C_378503N1211908W001	3.42422E-05	0.970948312	0.001818785	0.027198661	2	2	sub8sub9
C_378507N1216238W001	0.945055021	0.000251118	0.053759861	0.000933999	1	1	sub8sub9
C_378560N1212062W001	5.4398E-06	0.417879948	4.28166E-05	0.582071796	4	4	sub8sub9
C_378561N1210752W001	8.3E-09	0.999873699	8.111E-07	0.000125482	2	2	sub8sub9
C_378710N1210200W001	1.4E-09	0.999972871	9.82E-08	2.70297E-05	2	2	sub8sub9
C_378710N1211098W001	5.27984E-05	0.998668244	0.000497492	0.000781466	2	2	sub8sub9
C_378737N1210917W001	3.2E-09	0.999992203	8.46E-08	7.7088E-06	2	2	sub8sub9
C_378742N1216398W001	0.962917516	0.000749954	0.036245702	8.68274E-05	1	1	sub8sub9
C_378752N1211650W001	0	1	0	2E-10	2	2	sub8sub9
C_378764N1213154W001	4.05416E-05	0.011412791	0.948416531	0.040130136	3	3	sub8sub9
C_378775N1211469W001	1E-10	0.999999954	1.9E-09	4.36E-08	2	2	sub8sub9
C_378824N1210000W001	6.6E-09	0.999957302	4.835E-07	4.22079E-05	2	2	sub8sub9
C_378837N1211438W001	8.09E-08	0.999996514	1.5883E-06	1.8174E-06	2	2	sub8sub9
C_378846N1208816W001	0.612405887	0.005476496	0.367657144	0.014460474	1	1	sub8sub9
C_378888N1210554W001	4.6E-09	0.999989492	9.826E-07	9.5213E-06	2	2	sub8sub9
C_378948N1209532W001	0.821644417	0.001332364	0.093862097	0.083161122	1	1	sub8sub9
C_378957N1210463W001	4.8919E-06	0.999376554	0.000153655	0.0004649	2	2	sub8sub9
C_378970N1212210W001	0.000993409	0.783923825	0.003714265	0.211368502	2	2	sub8sub9
C_379034N1211276W001	0.000242293	0.400673423	0.554973536	0.044110748	3	3	sub8sub9
C_379051N1211014W001	0.033688788	0.127543795	0.817228869	0.021538548	3	3	sub8sub9
C_379061N1211661W001	3.8E-09	0.999998922	3.11E-08	1.0426E-06	2	2	sub8sub9
C_379143N1209485W001	0.886178937	0.002674583	0.007181392	0.103965087	1	1	sub8sub9
C_379150N1212045W001	8.8102E-06	0.99159191	0.000019966	0.008379314	2	2	sub8sub9
C_379204N1212259W001	0.000103802	0.998716461	0.000473232	0.000706505	2	2	sub8sub9
C_379209N1212476W001	0.00695393	0.913627036	0.012041178	0.067377857	2	2	sub8sub9
C_379247N1209723W001	0.009910194	0.195901165	0.791021678	0.003166964	3	3	sub8sub9
C_379251N1211755W001	0.000049548	0.988264164	0.000962777	0.010723511	2	2	sub8sub9
C_379283N1211030W001	4.63E-08	0.999107468	7.2339E-06	0.000885252	2	2	sub8sub9
C_379295N1210289W001	9.70481E-05	0.999503659	0.000395781	3.5115E-06	2	2	sub8sub9
C_379309N1212024W001	1.9285E-06	0.958919533	2.7476E-06	0.041075791	2	2	sub8sub9
C_379331N1210765W001	1.4998E-06	0.979373728	9.55134E-05	0.020529258	2	2	sub8sub9
C_379367N1210944W001	0	0.999999807	4E-10	1.926E-07	2	2	sub8sub9
C_379370N1210162W001	7.80937E-05	0.996167063	0.00213944	0.001615403	2	2	sub8sub9
C_379381N1210983W001	9.86E-08	0.998939097	5.3453E-06	0.00105546	2	2	sub8sub9
C_379428N1210162W001	0.000633752	0.941416111	0.03021825	0.027731887	2	2	sub8sub9
C_379434N1209697W001	4.889E-07	0.997359458	4.20199E-05	0.002598033	2	2	sub8sub9
C_379443N1212097W001	2.4E-09	0.996738279	1.18E-08	0.003261707	2	2	sub8sub9
C_379445N1209395W001	0.132657019	0.43696039	0.259137042	0.17124555	2	2	sub8sub9
C_379484N1211835W001	2E-10	0.999997719	1.5E-09	2.2791E-06	2	2	sub8sub9
C_379518N1211936W001	0	0.999999975	0	2.46E-08	2	2	sub8sub9
C_379562N1212024W001	2.3E-09	0.999999927	2.7E-09	6.81E-08	2	2	sub8sub9
C_379597N1212071W001	2E-10	0.999999972	5.5E-09	2.22E-08	2	2	sub8sub9
C_379625N1211636W001	5.295E-07	0.000523561	1.0029E-06	0.999474907	4	4	sub8sub9
C_379625N1213469W001	6.7E-09	0.998850633	0.000136479	0.001012881	2	2	sub8sub9
C_379643N1213348W001	4.6E-09	0.999998556	5.254E-07	0.000000914	2	2	sub8sub9
C_379664N1211726W001	0.000000009	0.999943018	6.76E-08	5.69053E-05	2	2	sub8sub9
C_379697N1212856W001	5.29E-08	0.999974392	2.7578E-06	2.27977E-05	2	2	sub8sub9
C_379698N1211495W001	1.03E-08	6.83501E-05	5.13E-08	0.999931588	4	4	sub8sub9
C_379714N1211618W001	1.64E-08	7.84E-08	2.4E-09	0.999999903	4	4	sub8sub9
C_379717N1212248W001	4.356E-07	0.112070461	4.59289E-05	0.887883175	4	4	sub8sub9
C_379722N1210672W001	8.512E-07	0.000697771	7.634E-07	0.999300614	4	4	sub8sub9
C_379726N1211885W001	0.000000013	0.995657821	9.64E-08	0.00434207	2	2	sub8sub9
C_379729N1210084W001	0.001981049	0.666064853	0.001973966	0.329980133	2	2	sub8sub9
C_379753N1212562W001	0.000205241	0.898438058	0.009630007	0.091726694	2	2	sub8sub9
C_379758N1212243W001	6.5351E-06	0.459543193	7.03706E-05	0.540379901	4	4	sub8sub9
C_379763N1211246W001	6.3E-09	3.7914E-06	2.2E-09	0.9999962	4	4	sub8sub9
C_379782N1212375W001	1.08386E-05	0.09941019	0.000196935	0.900382037	4	4	sub8sub9
C_379783N1213405W001	9E-10	0.999998915	0.000000241	8.434E-07	2	2	sub8sub9
C_379812N1211499W001	0.000008368	3.05025E-05	1.5976E-06	0.999959532	4	4	sub8sub9
C_379872N1212209W001	1.54E-08	0.006525382	1.278E-07	0.993474474	4	4	sub8sub9
C_379873N1211851W001	4.3032E-06	0.000937863	5.31959E-05	0.999004638	4	4	sub8sub9
C_379875N1210145W001	0.005653117	0.369961041	0.008795908	0.615589934	4	4	sub8sub9
C_379921N1212333W001	2.266E-07	0.002748739	6.427E-07	0.997250392	4	4	sub8sub9
