name	clus_1	clus_2	clus_3	clus_4	clus_5	clus_6	memb	cluster	group
C_351303N1192078W001	0.9882	0.0002	0.005	0.0002	0.0001	0.0063	1	1	CC
C_351386N1190751W001	0.9994	0	0.0004	0	0	0.0001	1	1	CC
C_351742N1191584W001	0.9999	0	0.0001	0	0	0	1	1	CC
C_351867N1190926W001	0.9258	0	0.074	0	0.0001	0.0001	1	1	CC
C_351939N1190926W001	0.9963	0	0.0006	0	0.003	0	1	1	CC
C_351939N1191313W001	0.2838	0.3601	0.0148	0.0655	0.2655	0.0104	2	2	CC
C_351952N1189182W001	0.989	0.0005	0.007	0.0001	0.0004	0.003	1	1	CC
C_352017N1188965W001	0.0001	0	0.9982	0.0016	0.0001	0	3	3	CC
C_352083N1190528W001	0.9764	0	0.0236	0	0	0	1	1	CC
C_352125N1191992W001	0.308	0	0.5644	0	0.0683	0.0593	3	3	CC
C_352200N1192037W001	0.4506	0.0007	0.0321	0	0.1544	0.3622	1	1	CC
C_352231N1192098W001	0.958	0	0.033	0	0.003	0.006	1	1	CC
C_352233N1191281W001	0.9997	0	0.0003	0	0	0	1	1	CC
C_352456N1191195W001	0.9986	0	0.0013	0	0	0.0001	1	1	CC
C_352486N1191542W001	0.8693	0	0.13	0	0.0006	0	1	1	CC
C_352514N1189503W001	0.0218	0	0.9757	0	0.001	0.0014	3	3	CC
C_352597N1191640W001	0.0301	0	0.9459	0	0.005	0.0189	3	3	CC
C_352936N1192703W001	0.0001	0.0549	0.002	0.9341	0	0.0089	4	4	CC
C_353767N1193415W001	0.0019	0.0006	0.8608	0.0001	0.0097	0.1269	3	3	CC
C_354128N1193409W001	0.1792	0	0.7798	0	0.0393	0.0017	3	3	CC
C_354131N1193590W001	0.0417	0	0.9569	0	0.0012	0.0002	3	3	CC
C_355408N1193856W001	0	0	1	0	0	0	3	3	CC
C_355947N1193717W001	1	0	0	0	0	0	1	1	CC
C_356172N1193677W001	1	0	0	0	0	0	1	1	CC
C_356241N1193502W001	1	0	0	0	0	0	1	1	CC
C_356308N1193678W001	1	0	0	0	0	0	1	1	CC
C_356308N1194203W001	0.9997	0	0.0001	0	0.0001	0	1	1	CC
C_356322N1193591W001	1	0	0	0	0	0	1	1	CC
C_356453N1194201W001	1	0	0	0	0	0	1	1	CC
C_356461N1193667W001	1	0	0	0	0	0	1	1	CC
C_356600N1194198W001	1	0	0	0	0	0	1	1	CC
C_356742N1193581W001	1	0	0	0	0	0	1	1	CC
C_356742N1194198W001	1	0	0	0	0	0	1	1	CC
C_356747N1194112W001	0	0	0	0	0	0	1	1	CC
C_356961N1193484W001	0.9999	0	0	0	0	0.0001	1	1	CC
C_358103N1193251W001	0.0032	0	0.9667	0	0.03	0.0001	3	3	CC
C_359853N1195188W001	0.0037	0.9725	0.0019	0.0192	0.0015	0.0012	2	2	CC
C_361089N1194293W001	0.0094	0	0.0002	0	0.9904	0	5	5	CC
C_361156N1195191W001	0.0312	0	0.0065	0	0.0271	0.9351	6	6	CC
C_361303N1193665W001	0.9523	0.0003	0.0467	0.0002	0.0004	0.0001	1	1	CC
C_361381N1195482W001	0.0395	0.0015	0.0006	0	0.8209	0.1375	5	5	CC
C_361497N1195296W001	0.0728	0.0001	0.0121	0	0.3095	0.6056	6	6	CC
C_361756N1193140W001	0.0104	0	0.0004	0	0.9891	0	5	5	CC
C_361928N1195563W001	0.0047	0.1711	0.0168	0.0082	0.6851	0.1141	5	5	CC
